0,1,2,3,4
Бакалея,Молоко,Масло,Мука,Огурцы
Яйца,Картошка,Масло,,
Говядина,Кофе,Мука,Мука,Говядина
Сыр,Лук,Сладости,Овощи,
Чай,Кофе,Курица,,
Фрукты,Мясо,Мясо,Молоко,Мука
Огурцы,Мука,Рыба,Консервы,Чай
Рыба,Чай,Соль,Томаты,Молоко
Яйца,Фрукты,Огурцы,Фрукты,
Соль,Мясо,Молоко,Курица,
Кофе,Соль,,,
Овощи,Соль,Курица,Лук,Консервы
Яйца,Сок,Консервы,,
Консервы,Сахар,Сахар,,
Масло,Бакалея,Лук,Молоко,
Томаты,Сахар,Мука,Бакалея,
Курица,Мука,,,
Яйца,Говядина,Мясо,Томаты,Кофе
Морковь,Кофе,Курица,Овощи,Огурцы
Сахар,Кофе,,,
Чай,Сладости,Курица,Кофе,
Чай,Яблоки,Морковь,,
Яблоки,Бананы,,,
Перец,Кофе,Масло,,
Лук,Говядина,Лук,,
Масло,Огурцы,,,
Бананы,Масло,Сладости,Томаты,Сладости
Сыр,Масло,Перец,,
Говядина,Сахар,Рыба,Фрукты,
Сыр,Бананы,Огурцы,,
Бакалея,Картошка,Яблоки,,
Сыр,Хлеб,Перец,Молоко,Бананы
Сладости,Молоко,,,
Фрукты,Картошка,Овощи,Консервы,
Сладости,Консервы,,,
Чай,Сахар,Консервы,Сок,Мясо
Лук,Фрукты,Бананы,Курица,Яблоки
Морковь,Бакалея,Бакалея,Яблоки,
Сок,Лук,,,
Картошка,Масло,Перец,,
Сыр,Бакалея,Мясо,Сахар,
Мука,Яйца,,,
Яблоки,Овощи,,,
Соль,Фрукты,Морковь,,
Мясо,Сок,Кофе,,
Говядина,Напитки,,,
Фрукты,Овощи,,,
Бакалея,Яблоки,Мясо,,
Напитки,Перец,,,
Консервы,Мука,Кофе,,
Яблоки,Сладости,,,
Рыба,Фрукты,,,
Курица,Кофе,Сыр,Бананы,
Бананы,Напитки,Морковь,Бананы,
Сахар,Курица,Рыба,Бакалея,Сок
Яйца,Сыр,,,
Консервы,Молоко,Кофе,Мясо,
Сыр,Овощи,Говядина,Молоко,Кофе
Соль,Консервы,Бананы,Молоко,Лук
Консервы,Мясо,Перец,,
Курица,Рыба,Картошка,Консервы,Перец
Яблоки,Перец,Кофе,Сладости,
Сахар,Сладости,Сыр,,
Говядина,Бананы,Кофе,,
Напитки,Напитки,,,
Томаты,Фрукты,,,
Молоко,Сладости,,,
Соль,Бананы,,,
Яйца,Курица,Бакалея,,
Рыба,Соль,Рыба,Яблоки,Яйца
Картошка,Яблоки,Огурцы,Кофе,
Бананы,Морковь,Соль,Яйца,Напитки
Морковь,Мука,,,
Яблоки,Сок,,,
Мясо,Огурцы,,,
Говядина,Перец,Мясо,Овощи,
Масло,Фрукты,Масло,Молоко,
Чай,Мясо,,,
Яйца,Масло,Перец,Говядина,
Сахар,Молоко,Курица,,
Масло,Сыр,Овощи,Масло,Огурцы
Чай,Морковь,Мука,Сок,
Мясо,Сладости,Курица,,
Фрукты,Фрукты,Яйца,Кофе,Перец
Консервы,Бананы,Сахар,Бананы,
Рыба,Бананы,Консервы,,
Морковь,Напитки,Напитки,Рыба,Рыба
Кофе,Рыба,Бакалея,Кофе,Хлеб
Мука,Сок,Сыр,Кофе,Бакалея
Овощи,Овощи,Лук,Хлеб,Овощи
Курица,Рыба,,,
Рыба,Перец,,,
Сладости,Консервы,Курица,Картошка,
Молоко,Кофе,Говядина,Перец,
Огурцы,Сладости,,,
Лук,Томаты,,,
Бананы,Говядина,Курица,Яйца,Масло
Сладости,Говядина,Сладости,,
Мука,Огурцы,,,
Молоко,Масло,Консервы,Мука,Молоко
Лук,Рыба,Говядина,Бакалея,
Масло,Картошка,Сок,Лук,
Перец,Перец,Картошка,Бананы,
Соль,Фрукты,Мука,Яблоки,Сок
Мука,Лук,Чай,Сладости,Сахар
Мука,Говядина,,,
Сыр,Мука,Чай,,
Огурцы,Бананы,Лук,Сыр,
Хлеб,Чай,Мука,,
Лук,Сок,Мука,Яйца,
Сок,Сладости,Перец,Напитки,
Сахар,Соль,,,
Огурцы,Консервы,Молоко,Сахар,Хлеб
Томаты,Сладости,Картошка,Кофе,
Бананы,Молоко,,,
Сахар,Огурцы,Морковь,,
Фрукты,Морковь,Мясо,Овощи,
Лук,Перец,,,
Сыр,Сыр,Яблоки,,
Масло,Мясо,,,
Молоко,Яблоки,Напитки,,
Сладости,Лук,Хлеб,Бананы,Сладости
Мясо,Рыба,Лук,Сладости,
Масло,Сок,Молоко,Морковь,
Курица,Сладости,Курица,Чай,
Бакалея,Томаты,Хлеб,,
Сок,Картошка,Консервы,,
Говядина,Консервы,Картошка,,
Хлеб,Морковь,Соль,,
Консервы,Курица,Сыр,Перец,
Мука,Фрукты,Овощи,Молоко,Яйца
Хлеб,Рыба,,,
Рыба,Кофе,,,
Сыр,Масло,,,
Сахар,Молоко,,,
Бакалея,Огурцы,,,
Яблоки,Говядина,Кофе,,
Мясо,Молоко,Яблоки,Сок,Огурцы
Мука,Яйца,Яблоки,Яблоки,
Напитки,Хлеб,,,
Консервы,Хлеб,Мука,Сладости,
Сок,Овощи,Курица,Чай,Фрукты
Мука,Молоко,Бананы,Перец,Напитки
Фрукты,Яблоки,Молоко,Соль,
Кофе,Мука,,,
Картошка,Огурцы,Напитки,,
Кофе,Перец,,,
Лук,Мясо,,,
Курица,Молоко,Бананы,,
Говядина,Яйца,Морковь,,
Хлеб,Томаты,Консервы,Рыба,
Сладости,Хлеб,Бакалея,Сладости,Рыба
Томаты,Лук,Яйца,Сладости,
Рыба,Консервы,Огурцы,Томаты,Курица
Фрукты,Яйца,,,
Молоко,Сахар,,,
Овощи,Курица,Кофе,Масло,
Морковь,Яблоки,Сахар,Мука,Лук
Соль,Яйца,Сыр,,
Говядина,Хлеб,Напитки,Мясо,
Молоко,Чай,Хлеб,Сладости,Хлеб
Кофе,Сок,Сыр,Морковь,
Масло,Бананы,,,
Лук,Бананы,Перец,,
Бананы,Овощи,Масло,,
Овощи,Яблоки,Рыба,,
Масло,Бакалея,Сыр,,
Томаты,Молоко,Чай,Курица,Напитки
Консервы,Соль,,,
Молоко,Бананы,Картошка,Картошка,
Хлеб,Сахар,Яблоки,Картошка,
Мука,Молоко,Яйца,,
Морковь,Хлеб,Хлеб,Яблоки,Консервы
Масло,Сахар,Перец,Сок,
Огурцы,Масло,Бананы,,
Сладости,Фрукты,Чай,Рыба,Консервы
Мясо,Фрукты,,,
Мука,Кофе,Хлеб,Молоко,Рыба
Сахар,Перец,Перец,Бананы,Молоко
Бакалея,Рыба,Хлеб,Хлеб,Лук
Перец,Соль,Соль,Перец,Сладости
Морковь,Перец,Кофе,,
Говядина,Бакалея,,,
Сок,Томаты,,,
Мука,Говядина,Рыба,Молоко,Перец
Хлеб,Картошка,Кофе,Бакалея,Мясо
Яблоки,Мука,Говядина,Бананы,
Курица,Напитки,,,
Сок,Масло,Кофе,Соль,Сыр
Яйца,Томаты,,,
Яблоки,Перец,,,
Рыба,Чай,Яйца,Кофе,
Мука,Морковь,Бакалея,,
Сок,Перец,Томаты,Сок,
Картошка,Хлеб,Лук,Кофе,Яблоки
Напитки,Соль,Напитки,Хлеб,Лук
Лук,Хлеб,Напитки,Мука,
Сахар,Томаты,Сок,Сахар,Молоко
Сладости,Овощи,Яблоки,Сыр,
Сыр,Яйца,Фрукты,,
Хлеб,Сыр,Говядина,,
Яйца,Говядина,Рыба,Бананы,
Сыр,Овощи,Лук,Хлеб,Сок
Курица,Огурцы,Соль,Напитки,Консервы
Консервы,Масло,,,
Рыба,Чай,Картошка,,
Бананы,Сладости,Сыр,Фрукты,Молоко
Сыр,Перец,Масло,Молоко,
Чай,Бакалея,Бананы,,
Чай,Хлеб,,,
Рыба,Фрукты,,,
Курица,Мука,Сыр,,
Рыба,Сок,Чай,,
Соль,Соль,Кофе,Сладости,
Перец,Лук,Молоко,,
Томаты,Курица,Картошка,Овощи,Сыр
Томаты,Напитки,Рыба,Перец,
Картошка,Бакалея,,,
Фрукты,Мука,Сок,Рыба,
Лук,Мясо,Сыр,,
Масло,Яблоки,Молоко,Перец,Напитки
Яйца,Томаты,Мука,Яблоки,Сыр
Перец,Мука,Напитки,Огурцы,
Курица,Молоко,Перец,Лук,Бананы
Мука,Лук,,,
Сыр,Картошка,Бакалея,Сладости,
Овощи,Перец,Масло,Бакалея,
Говядина,Хлеб,Морковь,Морковь,
Консервы,Бакалея,Мясо,Лук,
Говядина,Напитки,Морковь,Томаты,Перец
Морковь,Овощи,Кофе,Картошка,
Курица,Морковь,Бакалея,Яйца,Фрукты
Сыр,Сахар,,,
Сок,Яйца,Овощи,Сыр,
Яйца,Морковь,,,
Масло,Яйца,Лук,Курица,
Напитки,Молоко,Сок,Перец,
Картошка,Сыр,Огурцы,Картошка,
Масло,Мясо,Сок,Яблоки,Напитки
Рыба,Говядина,Фрукты,Говядина,Молоко
Яблоки,Курица,Курица,Напитки,Говядина
Мясо,Консервы,Курица,,
Лук,Бакалея,Овощи,,
Картошка,Овощи,Томаты,Мука,
Сок,Курица,,,
Бананы,Мука,,,
Чай,Сыр,,,
Мясо,Масло,Картошка,Бананы,Консервы
Сахар,Чай,Мясо,Яйца,Консервы
Мясо,Яблоки,Овощи,Молоко,
Перец,Бакалея,Перец,Яблоки,
Яйца,Соль,,,
Картошка,Лук,Молоко,Консервы,
Курица,Сок,Молоко,,
Молоко,Бананы,Перец,Лук,Картошка
Бананы,Хлеб,Рыба,Сок,
Перец,Курица,,,
Перец,Консервы,Говядина,,
Соль,Перец,Томаты,,
Томаты,Мясо,Рыба,Томаты,
Мука,Томаты,Мясо,Соль,
Сок,Яйца,Огурцы,,
Бананы,Соль,Молоко,Напитки,Напитки
Кофе,Мясо,,,
Лук,Огурцы,Морковь,Сладости,
Томаты,Яйца,Яблоки,,
Бананы,Сок,Сыр,Яйца,Яйца
Огурцы,Чай,,,
Мясо,Сыр,Говядина,,
Сок,Консервы,Фрукты,,
Яйца,Мясо,Курица,Овощи,Рыба
Консервы,Сок,Кофе,Кофе,
Консервы,Говядина,Сахар,,
Томаты,Овощи,,,
Консервы,Морковь,Молоко,Перец,Бананы
Бакалея,Курица,Овощи,,
Морковь,Чай,Хлеб,Сладости,
Напитки,Сладости,Мука,,
Сладости,Овощи,Сладости,,
Говядина,Бакалея,Говядина,,
Напитки,Бананы,Сладости,Мясо,Сок
Бакалея,Чай,Огурцы,Кофе,
Бананы,Морковь,Лук,,
Мука,Мука,,,
Говядина,Хлеб,Напитки,,
Яйца,Морковь,Чай,Перец,
Бананы,Овощи,Сладости,Лук,Огурцы
Яйца,Яйца,Напитки,Масло,Перец
Томаты,Напитки,Томаты,Кофе,Фрукты
Говядина,Овощи,Томаты,Сахар,
Мясо,Сахар,Чай,Огурцы,
Яйца,Яблоки,Бананы,Картошка,
Сок,Чай,Томаты,Напитки,
Картошка,Сахар,Томаты,Чай,Бананы
Томаты,Яблоки,Огурцы,Томаты,
Картошка,Огурцы,Чай,,
Бакалея,Кофе,Картошка,Фрукты,Масло
Молоко,Хлеб,Фрукты,,
Сыр,Бананы,Огурцы,,
Лук,Сыр,Курица,Бакалея,Чай
Томаты,Напитки,Говядина,,
Консервы,Яблоки,Чай,Яблоки,Бакалея
Кофе,Огурцы,Перец,Хлеб,Консервы
Сыр,Картошка,,,
Бакалея,Яйца,Овощи,Соль,
Овощи,Чай,Консервы,Яйца,Рыба
Яблоки,Говядина,,,
Сок,Огурцы,Бананы,Кофе,
Мясо,Сахар,Бананы,Мука,Бакалея
Огурцы,Перец,Огурцы,Томаты,Картошка
Консервы,Картошка,Говядина,Томаты,
Рыба,Мясо,Томаты,,
Сладости,Фрукты,Сок,Яйца,
Огурцы,Соль,Томаты,Хлеб,
Бананы,Морковь,Чай,,
Огурцы,Хлеб,Сыр,,
Фрукты,Фрукты,Молоко,Бананы,Мука
Бананы,Мука,Картошка,Томаты,
Овощи,Чай,Курица,Масло,Кофе
Консервы,Рыба,Томаты,Курица,Фрукты
Морковь,Яйца,Чай,Морковь,Кофе
Томаты,Хлеб,,,
Сыр,Масло,,,
Бананы,Перец,Сок,Хлеб,Картошка
Томаты,Консервы,,,
Хлеб,Мука,,,
Говядина,Молоко,Кофе,Хлеб,
Масло,Сахар,,,
Сок,Сок,,,
Перец,Мясо,Яйца,Сок,Огурцы
Сладости,Овощи,Говядина,Хлеб,
Молоко,Рыба,Бананы,Масло,
Соль,Яйца,Картошка,Кофе,Огурцы
Перец,Курица,,,
Мука,Чай,Соль,,
Сладости,Курица,Сладости,,
Томаты,Фрукты,,,
Мука,Мясо,Сахар,Сок,
Картошка,Картошка,,,
Фрукты,Говядина,,,
Мясо,Масло,Овощи,Молоко,
Мука,Рыба,Хлеб,Молоко,
Овощи,Огурцы,Курица,,
Сыр,Масло,Сыр,Сладости,
Сахар,Огурцы,Молоко,Картошка,
Огурцы,Сыр,,,
Яйца,Соль,Перец,Курица,Яйца
Сладости,Консервы,Сладости,,
Масло,Мука,Молоко,Овощи,Мука
Овощи,Соль,Говядина,Фрукты,Чай
Молоко,Мука,Масло,,
Морковь,Огурцы,Молоко,Картошка,Хлеб
Картошка,Яйца,Курица,,
Лук,Кофе,,,
Кофе,Масло,,,
Напитки,Молоко,Сахар,Консервы,Лук
Сок,Яблоки,,,
Яблоки,Бананы,Сладости,Кофе,Соль
Сахар,Кофе,Сок,,
Чай,Хлеб,Бакалея,Овощи,Яблоки
Мука,Фрукты,Лук,,
Томаты,Овощи,Кофе,,
Молоко,Овощи,Овощи,Огурцы,Яблоки
Кофе,Яблоки,,,
Курица,Овощи,Мясо,,
Бананы,Молоко,,,
Кофе,Кофе,,,
Чай,Говядина,,,
Огурцы,Яйца,Кофе,Мука,Перец
Яйца,Овощи,Соль,Чай,
Яблоки,Мясо,Рыба,,
Мясо,Напитки,Лук,,
Говядина,Морковь,Сахар,,
Консервы,Консервы,,,
Огурцы,Лук,Яйца,Мясо,
Мясо,Масло,,,
Картошка,Бакалея,Перец,,
Перец,Овощи,,,
Напитки,Чай,Сладости,Фрукты,
Овощи,Хлеб,Чай,,
Чай,Фрукты,Фрукты,Мука,Яблоки
Перец,Консервы,Яйца,,
Перец,Яблоки,,,
Соль,Рыба,Картошка,,
Картошка,Кофе,,,
Перец,Чай,Мука,Молоко,Рыба
Напитки,Перец,Бакалея,Мясо,
Сахар,Чай,Молоко,Мука,
Картошка,Бакалея,Лук,Томаты,Консервы
Молоко,Огурцы,,,
Сахар,Морковь,Перец,Сахар,
Огурцы,Лук,,,
Бакалея,Морковь,Молоко,,
Молоко,Напитки,,,
Мука,Томаты,Морковь,,
Перец,Кофе,Лук,,
Фрукты,Соль,Огурцы,Консервы,Рыба
Яблоки,Хлеб,Масло,Рыба,
Хлеб,Бананы,Консервы,Чай,Курица
Курица,Молоко,Морковь,Масло,Кофе
Овощи,Фрукты,Курица,Курица,Яблоки
Сыр,Картошка,,,
Яблоки,Яблоки,,,
Картошка,Говядина,Кофе,,
Соль,Лук,,,
Сок,Томаты,Перец,Мясо,
Сладости,Овощи,Томаты,,
Соль,Сок,,,
Сладости,Бакалея,Картошка,Бананы,
Сладости,Курица,,,
Картошка,Соль,,,
Сладости,Огурцы,Курица,,
Яблоки,Хлеб,Огурцы,Овощи,
Сыр,Говядина,,,
Перец,Перец,Лук,Хлеб,Фрукты
Соль,Морковь,Сыр,Морковь,
Перец,Сыр,Сыр,Мука,Овощи
Молоко,Морковь,Мука,Говядина,Соль
Лук,Картошка,,,
Соль,Бананы,Рыба,Сыр,Рыба
Кофе,Яйца,Молоко,,
Яйца,Томаты,Бананы,Напитки,
Перец,Напитки,Рыба,Сахар,Курица
Напитки,Яйца,Перец,Яйца,Напитки
Мясо,Соль,Перец,,
Лук,Кофе,Сок,,
Сахар,Лук,Соль,,
Сахар,Соль,Мука,Кофе,
Яйца,Морковь,Мясо,Сладости,
Говядина,Картошка,Фрукты,Бакалея,
Перец,Огурцы,Сок,Бананы,Сыр
Сок,Фрукты,,,
Соль,Бананы,Фрукты,,
Говядина,Морковь,Мука,,
Овощи,Мука,,,
Фрукты,Говядина,,,
Напитки,Сыр,Соль,Говядина,
Лук,Мясо,Кофе,,
Курица,Картошка,Напитки,Сыр,Овощи
Томаты,Соль,,,
Кофе,Курица,Картошка,Молоко,Фрукты
Говядина,Картошка,Перец,Сахар,Говядина
Курица,Кофе,Чай,Бананы,
Огурцы,Томаты,Огурцы,,
Картошка,Консервы,,,
Масло,Картошка,Морковь,Хлеб,Мясо
Морковь,Перец,,,
Сахар,Кофе,,,
Огурцы,Масло,Овощи,Сладости,Кофе
Молоко,Овощи,Морковь,,
Сыр,Морковь,Напитки,Фрукты,
Кофе,Курица,Яблоки,,
Хлеб,Фрукты,Напитки,Чай,Яблоки
Яблоки,Яблоки,Курица,Сок,Яйца
Сахар,Чай,Яйца,,
Хлеб,Молоко,,,
Овощи,Соль,Молоко,Консервы,
Овощи,Говядина,Морковь,Бананы,
Яйца,Рыба,Хлеб,Мясо,Бакалея
Кофе,Молоко,,,
Томаты,Сыр,Сок,Рыба,Яйца
Овощи,Сладости,,,
Рыба,Сахар,Яблоки,,
Говядина,Кофе,Сладости,Сыр,Молоко
Кофе,Томаты,,,
Картошка,Кофе,Хлеб,Кофе,Морковь
Курица,Молоко,,,
Курица,Фрукты,Овощи,Сладости,
Сладости,Сахар,Фрукты,Рыба,Консервы
Бананы,Мука,Чай,Кофе,
Сок,Масло,,,
Сыр,Чай,Кофе,,
Фрукты,Консервы,Яйца,,
Бананы,Морковь,Сыр,,
Консервы,Напитки,,,
Кофе,Кофе,,,
Сладости,Курица,Перец,Бакалея,
Лук,Картошка,Хлеб,Чай,
Огурцы,Бакалея,Масло,Томаты,Яблоки
Мясо,Томаты,Сладости,,
Консервы,Сыр,Бананы,,
Хлеб,Мука,Бананы,Сахар,
Сок,Напитки,Фрукты,Молоко,Чай
Мясо,Сладости,Лук,Хлеб,Напитки
Напитки,Яблоки,Молоко,Консервы,
Сладости,Картошка,,,
Соль,Говядина,Перец,Консервы,
Яйца,Перец,Говядина,Сахар,Морковь
Яблоки,Сыр,Кофе,,
Консервы,Напитки,Яблоки,Фрукты,
Яблоки,Лук,Хлеб,Молоко,
Консервы,Рыба,,,
Картошка,Рыба,Огурцы,Кофе,Картошка
Молоко,Рыба,Лук,Говядина,
Рыба,Яблоки,Сахар,Мясо,Молоко
Консервы,Яблоки,Картошка,,
Молоко,Рыба,,,
Рыба,Хлеб,Молоко,Морковь,Морковь
Масло,Сахар,Лук,,
Хлеб,Мука,,,
Лук,Сахар,Лук,Бакалея,Масло
Яйца,Соль,Говядина,,
Сладости,Картошка,Масло,Сладости,
Перец,Молоко,Яйца,Масло,
Картошка,Сыр,Чай,,
Фрукты,Кофе,,,
Консервы,Огурцы,Яйца,Хлеб,Огурцы
Овощи,Бакалея,Сладости,Лук,Морковь
Бакалея,Молоко,Говядина,Говядина,
Хлеб,Лук,Мясо,Масло,
Мука,Консервы,Сок,Сахар,
Яблоки,Чай,Фрукты,Сладости,
Картошка,Соль,Бананы,Перец,
Фрукты,Бакалея,Молоко,Курица,
Рыба,Напитки,Картошка,Бакалея,Хлеб
Фрукты,Напитки,Говядина,Масло,Томаты
Напитки,Фрукты,Лук,Перец,Бакалея
Чай,Бананы,Фрукты,Сахар,
Соль,Хлеб,Сыр,Хлеб,Картошка
Соль,Молоко,,,
Рыба,Кофе,Сыр,Масло,Сахар
Соль,Кофе,,,
Морковь,Мука,Молоко,,
Молоко,Кофе,Огурцы,Сахар,Рыба
Картошка,Мясо,,,
Бананы,Консервы,,,
Курица,Бакалея,Фрукты,Фрукты,Мясо
Сок,Фрукты,Говядина,,
Молоко,Фрукты,Консервы,Сахар,Рыба
Консервы,Перец,Кофе,,
Молоко,Говядина,Бакалея,,
Соль,Сок,Овощи,,
Яблоки,Бананы,Курица,Бакалея,Масло
Масло,Морковь,,,
Сок,Бакалея,Консервы,Говядина,
Сок,Говядина,Говядина,Лук,Томаты
Лук,Сладости,Сладости,Фрукты,
Яблоки,Яблоки,Молоко,Картошка,Картошка
Бакалея,Кофе,Яблоки,Картошка,Сок
Морковь,Яблоки,Бакалея,,
Консервы,Фрукты,Сок,Кофе,
Молоко,Яйца,Перец,Мука,Яблоки
Огурцы,Яйца,,,
Сыр,Огурцы,,,
Лук,Картошка,Консервы,Мясо,
Курица,Морковь,Сладости,Сахар,Кофе
Говядина,Рыба,Овощи,,
Перец,Кофе,,,
Масло,Рыба,,,
Курица,Огурцы,Масло,Яйца,Напитки
Морковь,Курица,Напитки,Чай,Томаты
Курица,Картошка,,,
Рыба,Рыба,Сахар,,
Соль,Мясо,Картошка,Сок,Огурцы
Перец,Курица,Перец,,
Лук,Курица,Сладости,Соль,Курица
Мука,Напитки,Чай,,
Сахар,Картошка,,,
Курица,Молоко,,,
Рыба,Яблоки,Сладости,Бананы,
Яйца,Кофе,Яблоки,Рыба,
Яблоки,Чай,,,
Бананы,Рыба,Масло,Курица,Чай
Бакалея,Сладости,,,
Кофе,Сыр,Картошка,Фрукты,
Мясо,Сахар,Чай,,
Овощи,Яблоки,Томаты,,
Лук,Молоко,,,
Картошка,Соль,,,
Овощи,Картошка,Соль,Лук,
Овощи,Кофе,Курица,Перец,Мясо
Перец,Яйца,Консервы,Томаты,
Молоко,Молоко,Масло,,
Бананы,Сыр,,,
Перец,Яблоки,Томаты,,
Рыба,Кофе,Томаты,,
Говядина,Молоко,Огурцы,Овощи,
Томаты,Бананы,Огурцы,Мука,
Кофе,Сок,Морковь,,
Лук,Молоко,,,
Напитки,Соль,Бакалея,Консервы,Мука
Огурцы,Сладости,,,
Рыба,Бакалея,Рыба,Перец,Сахар
Молоко,Лук,Картошка,Морковь,
Рыба,Кофе,Фрукты,,
Сахар,Консервы,Яблоки,Сок,
Сахар,Фрукты,Яблоки,Молоко,
Яблоки,Морковь,Мясо,Фрукты,Яблоки
Сыр,Овощи,Яйца,,
Картошка,Мука,Картошка,Говядина,Картошка
Сладости,Картошка,Кофе,,
Яблоки,Яблоки,Томаты,,
Сахар,Курица,Сок,Перец,Соль
Курица,Мясо,,,
Бакалея,Мука,Рыба,Консервы,Яйца
Напитки,Масло,Бакалея,Фрукты,Огурцы
Овощи,Фрукты,Лук,Яблоки,Напитки
Консервы,Сыр,Сок,Консервы,Сыр
Чай,Томаты,Мясо,,
Мясо,Сыр,Сыр,Мясо,
Говядина,Чай,Хлеб,,
Хлеб,Напитки,,,
Бананы,Консервы,Чай,,
Морковь,Сахар,Говядина,Картошка,Говядина
Сладости,Кофе,Сыр,,
Бакалея,Картошка,,,
Фрукты,Хлеб,Яблоки,,
Напитки,Рыба,Молоко,Фрукты,
Мясо,Сок,Молоко,,
Овощи,Мясо,Курица,,
Масло,Сахар,Кофе,Фрукты,Картошка
Лук,Чай,Молоко,,
Томаты,Молоко,,,
Хлеб,Говядина,Овощи,Томаты,Чай
Соль,Говядина,,,
Мука,Масло,Соль,,
Консервы,Томаты,Огурцы,,
Соль,Чай,Напитки,,
Перец,Сахар,Фрукты,Курица,Перец
Консервы,Яйца,,,
Хлеб,Сок,Огурцы,Говядина,Бакалея
Говядина,Фрукты,Перец,Мука,Рыба
Перец,Мука,Говядина,Огурцы,
Мясо,Хлеб,Масло,Рыба,Яблоки
Хлеб,Томаты,Соль,Масло,Яблоки
Бакалея,Молоко,Говядина,,
Томаты,Сахар,Говядина,Масло,
Бананы,Напитки,,,
Морковь,Курица,Лук,Сахар,
Консервы,Картошка,Бананы,Сыр,Бакалея
Кофе,Рыба,Сок,Сыр,Рыба
Фрукты,Томаты,,,
Бананы,Хлеб,Напитки,Морковь,Рыба
Сладости,Огурцы,Огурцы,Яйца,
Мука,Бананы,Бакалея,Сок,Говядина
Кофе,Яблоки,,,
Кофе,Мясо,Огурцы,,
Огурцы,Курица,Курица,Масло,Фрукты
Говядина,Напитки,,,
Чай,Рыба,,,
Соль,Перец,Консервы,Чай,Курица
Мясо,Курица,,,
Перец,Напитки,,,
Мясо,Сладости,Бакалея,,
Лук,Сок,Напитки,Бакалея,Яйца
Сыр,Огурцы,,,
Хлеб,Перец,Кофе,,
Кофе,Кофе,Сладости,Овощи,
Сок,Напитки,,,
Соль,Лук,Кофе,Масло,
Сок,Яблоки,Яблоки,,
Томаты,Морковь,,,
Огурцы,Томаты,Бананы,,
Соль,Бананы,Томаты,Рыба,Яйца
Сок,Яблоки,Соль,,
Бананы,Кофе,,,
Перец,Огурцы,Сладости,,
Сладости,Консервы,Яйца,Мясо,Сахар
Кофе,Морковь,Овощи,Бакалея,Мясо
Сладости,Молоко,,,
Лук,Хлеб,,,
Фрукты,Мясо,Молоко,Картошка,Овощи
Овощи,Соль,Соль,,
Сыр,Картошка,Яблоки,Сладости,Яблоки
Мука,Овощи,Чай,,
Картошка,Сладости,,,
Напитки,Томаты,Перец,Курица,Огурцы
Кофе,Курица,Хлеб,,
Морковь,Морковь,,,
Лук,Говядина,Яблоки,,
Соль,Овощи,Молоко,Напитки,Кофе
Картошка,Яблоки,Сахар,,
Курица,Мука,Лук,Мясо,Масло
Огурцы,Сок,Яблоки,,
Масло,Перец,Овощи,Бананы,Сок
Молоко,Лук,Кофе,,
Сладости,Сыр,Мука,Бакалея,
Сладости,Морковь,Напитки,Фрукты,Говядина
Фрукты,Сладости,,,
Мука,Кофе,Сок,,
Перец,Лук,Яблоки,,
Сыр,Курица,Масло,,
